driver,corr_with_abs_err,corr_with_ape
b_over_k,0.1783320188880911,0.17790916997056555
sig3,-0.16342657646384737,-0.1389038573778746
tenor,0.044691774279003296,0.04423879334012511
coupon,-0.027086273579864154,-0.017983050874618017
cpn_spread,-0.018800041850250155,-0.007955378697601444
