segment,seg_mid,n,mean_true,mean_pred,mean_err(true-pred),MAPE,bias_bp
"(0.703, 0.865]",0.784,2348,0.8360574736884478,0.9456821819701166,-0.1096247082816689,0.13852592743181077,1096.247082816689
"(0.865, 0.889]",0.877,2348,0.8781268340568952,0.9612069801020211,-0.08308014604512581,0.10267403181500392,830.8014604512581
"(0.889, 0.906]",0.8975,2348,0.8983857597587855,0.9689938494780248,-0.0706080897192393,0.0895778318837432,706.0808971923931
"(0.906, 0.922]",0.914,2348,0.9143629820447143,0.981543928138876,-0.06718094609416185,0.08101056600219773,671.8094609416185
"(0.922, 0.936]",0.929,2348,0.9291270626230158,0.9899207967474681,-0.06079373412445231,0.06857618350452033,607.9373412445232
"(0.936, 0.949]",0.9425,2347,0.9423276141053711,0.9921048608028917,-0.049777246697520455,0.056101721712914276,497.77246697520457
"(0.949, 0.962]",0.9555,2348,0.9556775763321631,0.9928610109097751,-0.03718343457761201,0.04400509538158938,371.8343457761201
"(0.962, 0.976]",0.969,2348,0.9690433585745664,0.9961291765849701,-0.027085818010403936,0.03538318200048129,270.8581801040394
"(0.976, 0.991]",0.9835,2348,0.982875092924651,0.9973327056954885,-0.014457612770837774,0.024513762295230453,144.57612770837773
"(0.991, 1.05]",1.0205,2348,1.0051820912438212,1.0004755265914673,0.004706564652353727,0.017035758206015734,-47.065646523537275
