,r2,mae,rmse,mape,bp_error,bias_bp,spearman,n
B_no_reseed_with_noise(~V1),0.9210748771970427,0.004986080207156364,0.0077385790641081595,0.005151126087200406,49.86080207156363,-14.184481414069307,0.9763532477263156,9392.0
C_reseed_no_noise,0.9367979875427512,0.004494036949851048,0.007307478667134886,0.004670160028343024,44.94036949851049,-16.05351864105412,0.982198198010629,9392.0
D_reseed_with_noise,0.9367979875427512,0.004494036949851048,0.007307478667134886,0.004670160028343024,44.94036949851049,-16.05351864105412,0.982198198010629,9392.0
