loss_type,r2,mae,mape,rmse,spearman
mae,0.9474861927493519,0.004427692410663181,0.004598360131716946,0.007124053483456277,0.9814834942092819
mape,0.9089552823611557,0.004989131848553104,0.0051922147930455595,0.008663160917115314,0.9715135767528107
mse,0.7834349213541729,0.010184556546806573,0.010506280851376157,0.013403981123927995,0.9655493118675846
