model,R2,MAPE,bp_error,MAE,RMSE,Spearman,n
stage1_deeponet_alone,0.9368,0.0047,44.9,0.00449,0.00731,0.9822,9392
final_theory_mlp,0.934,0.0047,45.0,0.0045,0.00737,0.9829,9392
stage2_mc_resid_mlp,-0.2339,1.505,45.0,0.0045,0.00737,0.0252,9392
final_theory_xgb,0.9413,0.0046,43.9,0.00439,0.007,0.982,9392
stage2_mc_resid_xgb,-0.1695,1.526,43.9,0.00439,0.007,0.2369,9392
