model,R2,MAE,RMSE,Spearman,n,팀목표,판정
stage1_deeponet,0.8203,0.00736,0.0125,0.9307,9392,"(0.92, 0.99)",FAIL
stage1_xgb,0.8182,0.0087,0.01438,0.9613,9392,"(0.83, 0.9)",FAIL
stage2_resid,0.1674,0.0257,0.03347,0.606,9392,"(0.49, 0.49)",FAIL
final_deeponet_hybrid,0.2928,0.02622,0.03405,0.6511,9392,"(0.72, 0.74)",FAIL
final_xgb_hybrid,0.1812,0.02752,0.03628,0.6259,9392,-,-
bench_ridge,-0.8151,0.04068,0.04888,0.5942,9392,"(0.56, 0.56)",FAIL
bench_gbm,-0.7605,0.04437,0.05099,0.582,9392,"(0.26, 0.33)",FAIL
deeponet_direct,-3.8017,0.06521,0.08218,0.3596,9392,"(None, 0.0)",OK
