r2,mae,rmse,mape,bp_error,bias_bp,spearman,n,fold,seconds,variant
0.9838787983794453,0.001632085854015191,0.00297490464594465,0.0016538455991187584,16.32085854015191,-2.101657815861401,0.9879161412174896,2348,1,71.8,B_no_reseed_with_noise(~V1)
0.7622155535562098,0.010804796778290462,0.015363986367240104,0.011074851716568492,108.04796778290462,-93.74180441770925,0.9341296834510026,2348,2,72.9,B_no_reseed_with_noise(~V1)
0.9546008337248163,0.0044206549713653375,0.006754775574607763,0.004560840765740314,44.206549713653374,39.375757949132705,0.9910990993896559,2348,3,101.0,B_no_reseed_with_noise(~V1)
0.9836043231276991,0.0030867832249544627,0.00586064966864012,0.003314966267374061,30.867832249544627,-0.2702213718392843,0.9922680668471142,2348,4,113.6,B_no_reseed_with_noise(~V1)
0.9838787983794453,0.001632085854015191,0.00297490464594465,0.0016538455991187584,16.32085854015191,-2.101657815861401,0.9879161412174896,2348,1,74.0,C_reseed_no_noise
0.8374854584215189,0.0097310781100068,0.012701596285368509,0.010008370455612677,97.310781100068,-83.07060031256275,0.9582229041996035,2348,2,85.3,C_reseed_no_noise
0.9428785525929186,0.0034858701214067634,0.007576813324734254,0.00367840660578731,34.858701214067636,24.87268241891643,0.9920376322583583,2348,3,89.1,C_reseed_no_noise
0.9829491407771228,0.00312711371397544,0.005976600412492129,0.003340017452853351,31.271137139754398,-3.9144988547087585,0.9906161143670654,2348,4,118.5,C_reseed_no_noise
0.9838787983794453,0.001632085854015191,0.00297490464594465,0.0016538455991187584,16.32085854015191,-2.101657815861401,0.9879161412174896,2348,1,80.0,D_reseed_with_noise
0.8374854584215189,0.0097310781100068,0.012701596285368509,0.010008370455612677,97.310781100068,-83.07060031256275,0.9582229041996035,2348,2,72.0,D_reseed_with_noise
0.9428785525929186,0.0034858701214067634,0.007576813324734254,0.00367840660578731,34.858701214067636,24.87268241891643,0.9920376322583583,2348,3,97.6,D_reseed_with_noise
0.9829491407771228,0.00312711371397544,0.005976600412492129,0.003340017452853351,31.271137139754398,-3.9144988547087585,0.9906161143670654,2348,4,117.8,D_reseed_with_noise
