tag,lambda_pde,R2,MAPE,bp_error,MAE,RMSE,Spearman,n,mean_train_seconds
plain(lambda=0),0.0,0.827,0.0066,63.4,0.00634,0.00933,0.9732,9392,61.3
PI(lambda_pde=0.01),0.01,0.9537,0.0038,37.1,0.00371,0.00597,0.9824,9392,285.5
PI(lambda_pde=0.1),0.1,0.9036,0.0053,51.2,0.00512,0.00773,0.9777,9392,285.8
PI(lambda_pde=1.0),1.0,0.8734,0.0055,52.8,0.00528,0.00834,0.974,9392,285.4
