item,fair,MC,err_krw,ape,coupon,sig3,b_over_k,tenor,cpn_spread
KR6YT00002B5,0.8921,0.5268009440244498,3652.9905597555025,0.4094821835842957,0.08,0.9743685102853327,0.6666666666666666,3.0088980150581794,0.06730282757456646
KR6KS0001R49,0.7186020000000001,1.0046341195187412,-2860.321195187411,0.39803969306896037,0.06,0.23649273636830626,0.6428571428571429,3.0006844626967832,0.034054286557751015
20201109000302_4649,0.8934209999999999,0.5476665681593849,3457.5443184061505,0.38700056506463926,0.07200000000000001,0.9183969954958381,0.6666666666666666,3.0088980150581794,0.05741110021447696
20201102000334_4643,0.89374,0.5522514906520946,3414.8850934790544,0.38208932054949474,0.078,0.9183442289821706,0.6666666666666666,3.0088980150581794,0.06341110021447695
KR6709337A86,0.9070969999999999,0.5667224553930003,3403.745446069997,0.375235001997581,0.08,0.8871443188613672,0.6666666666666666,3.0061601642710474,0.0658916683731972
KR6709389A83,0.908485,0.5681035874054353,3403.8141259456465,0.3746692709230914,0.087,0.8874648117057595,0.6666666666666666,2.9979466119096507,0.07289647366850033
KR6709305A84,0.9102979999999999,0.5744356272314944,3358.623727685055,0.3689587066746335,0.086,0.8741600130355981,0.6666666666666666,2.9979466119096507,0.07189647366850033
KR6709328A79,0.9091020000000001,0.5752557546989112,3338.4624530108886,0.36722638966924376,0.085,0.8743968759569917,0.6666666666666666,2.9979466119096507,0.06680054808788115
KR67093ATA76,0.914225,0.5787672242066143,3354.5777579338564,0.366931308806241,0.092,0.8714280472640695,0.6666666666666666,3.0061601642710474,0.07380027120505434
KR6709303A78,0.9069389999999999,0.5766928922278953,3302.461077721046,0.3641326569616089,0.08,0.8563178919931567,0.6666666666666666,3.0116358658453115,0.0618001260477308
KR6709399A73,0.913551,0.5821092158282293,3314.4178417177072,0.3628060000719946,0.092,0.8665467121084385,0.6666666666666666,2.9979466119096507,0.07380054808788114
KR6709395A69,0.9089010000000001,0.5853935192030543,3235.074807969458,0.3559325831932694,0.085,0.8482085722328605,0.6666666666666666,2.9979466119096507,0.06668359060597193
KR6SY0003EY6,0.9000049999999999,0.6387848398890323,2612.201601109676,0.29024300988435353,0.0711,0.6765461359110009,0.6153846153846154,2.9979466119096507,0.041844975856986995
KR6MD0002336,0.779415,1.0043069496460497,-2248.9194964604976,0.28853941692942753,0.105,0.25965186217666275,0.6,3.0006844626967832,0.08036482327700695
KR6SY00039N3,0.950536,0.6763341278815176,2742.0187211848247,0.28847079134139314,0.07200000000000001,0.5756917533453015,0.6153846153846154,2.9924709103353866,0.036122151093630386
KR6SY0003EF5,0.900676,0.6424288567175868,2582.4714328241325,0.28672590729897685,0.0672,0.6692165310165284,0.6153846153846154,3.0006844626967832,0.037945814578016296
KR6SY0003923,0.926853,0.6624391362724555,2644.138637275445,0.2852813377391501,0.0702,0.5842986288802849,0.5384615384615384,2.9897330595482545,0.034319795688439556
KR6SY0003E79,0.900056,0.6489094727413646,2511.465272586354,0.27903433481765066,0.069,0.6677713006111954,0.6153846153846154,2.9897330595482545,0.029783541699248746
KR65233A7527,0.7935180000000001,1.0123170931645744,-2187.9909316457433,0.27573299303175774,0.134,0.19240139990660968,0.7058823529411765,2.9924709103353866,0.1085284893911837
KR6SY0003F45,0.900913,0.6550744661795428,2458.385338204572,0.2728771078011497,0.163,0.6838485073536852,0.4615384615384615,2.9924709103353866,0.13374329676505423
