단계,건수,탈락
0. 원본 DART 공시(AUTO_CALL),102607,0
1. ELS·worst-of(ALL_MIN)·3기초자산·STEP·KRW,53558,49049
"2. 낙인배리어 보유(KNCK_IN_YN==1, 3-star KI ELS 정의)",28202,25356
"3. fair[0.70,1.05] & tenor[0.5,5]년 범위",23615,4587
4. 3기초자산 전부 티커 매핑 가능,23580,35
5. 상환평가 스케줄 존재,23580,0
6. 발행 전 180영업일 시장데이터(vol/corr) 확보,23479,101
