run,r2,mae,rmse,mape,bp_error,spearman
run1,0.9868770166914745,0.0028013506275521185,0.005243211472474084,0.002984094428823543,28.013506275521184,0.9944433066641091
run2,0.9868770166914745,0.0028013506275521185,0.005243211472474084,0.002984094428823543,28.013506275521184,0.9944433066641091
exact_match,True,True,True,True,True,True
