tag,kind,data_frac,lambda_pde,R2,MAPE,bp_error,MAE,RMSE,Spearman,n
dataeff_PI_frac0.25,PI,0.25,0.01,0.9611,0.004,37.9,0.00379,0.00607,0.9845,9392
dataeff_PI_frac0.5,PI,0.5,0.01,0.8795,0.0057,55.2,0.00552,0.00845,0.9789,9392
dataeff_PI_frac1.0,PI,1.0,0.01,0.9537,0.0038,37.1,0.00371,0.00597,0.9824,9392
dataeff_plain_frac0.25,plain,0.25,0.0,0.9585,0.0039,37.6,0.00376,0.00608,0.9831,9392
dataeff_plain_frac0.5,plain,0.5,0.0,0.9287,0.0048,45.8,0.00458,0.00695,0.9838,9392
dataeff_plain_frac1.0,plain,1.0,0.0,0.827,0.0066,63.4,0.00634,0.00933,0.9732,9392
